"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-09",,"61","47",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-10",,"47","23","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-11",,"29","17",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-12",,"29","19",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-13",,"36","20",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-14",,"32","21","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-15",,"26","20",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-16",,"39","24",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-17",,"47","29",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-18",,"39","34","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-19",,"47","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-20",,"52","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-21",,"59","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-22",,"50","24",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-23",,"42","23",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-24",,"57","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-25",,"62","42","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-26",,"42","37","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-27",,"53","37","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-28",,"46","41","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-29",,"60","42","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-30",,"52","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03-31",,"43","37","    1",,,,,
